"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"316720 Sete Lagoas";85;105;550;209;60;141;13;49;-;741;233;361;125;49;38;42;38;118;7;922;3886
"316555 Setubinha";-;-;3;-;4;-;-;-;-;1;3;8;2;1;1;-;-;1;2;10;36
"316730 Silveirânia";-;-;1;1;1;-;-;-;-;-;2;3;2;1;1;1;-;1;-;4;18
"316740 Silvianópolis";-;-;2;-;4;1;-;-;-;1;3;5;3;1;1;1;-;1;-;4;27
"316750 Simão Pereira";-;-;9;4;1;1;-;-;-;1;6;4;4;3;1;1;-;2;-;10;47
"316760 Simonésia";-;-;6;1;9;1;1;-;-;2;13;21;4;1;1;4;2;3;3;24;96
"316770 Sobrália";-;-;4;1;4;3;1;-;-;1;6;8;3;3;2;2;1;5;-;10;54
"316780 Soledade de Minas";-;-;3;1;2;1;-;-;-;2;6;3;-;1;1;-;-;1;-;5;26
"316790 Tabuleiro";-;-;4;1;1;1;1;-;-;-;3;5;3;1;2;-;3;2;-;8;35
"316800 Taiobeiras";2;8;42;16;15;7;2;9;-;34;43;62;28;7;9;24;5;14;3;157;487
"316805 Taparuba";-;-;3;-;2;2;-;-;-;1;3;6;7;1;1;2;2;1;-;10;41
"316810 Tapira";-;-;3;2;1;1;-;1;-;2;3;9;3;-;1;2;-;2;-;14;44
"316820 Tapiraí";-;-;3;2;1;3;-;-;-;3;2;2;3;-;2;1;-;5;-;3;30
"316830 Taquaraçu de Minas";-;-;5;1;1;1;1;-;-;-;3;5;2;1;-;1;-;1;-;14;36
"316840 Tarumirim";4;3;20;2;6;2;1;1;-;19;10;17;6;2;3;7;2;2;-;35;142
"316850 Teixeiras";-;1;8;2;5;2;-;-;-;3;8;16;6;1;2;3;2;3;-;31;93
"316860 Teófilo Otoni";28;60;377;96;70;63;26;55;-;525;220;392;101;39;36;46;46;119;3;904;3206
"316870 Timóteo";70;89;260;33;23;81;8;32;-;257;103;97;39;23;22;17;18;42;5;255;1474
"316880 Tiradentes";-;-;4;1;4;-;-;-;-;2;4;9;3;1;1;-;-;2;-;14;45
"316890 Tiros";-;-;8;4;5;3;-;-;-;4;9;12;6;1;2;2;-;4;-;14;74
"316900 Tocantins";-;-;-;2;5;1;1;1;-;4;11;8;5;3;3;4;4;9;-;13;74
"316905 Tocos do Moji";-;-;4;2;2;1;-;-;-;2;5;4;1;-;1;-;-;1;-;5;28
"316910 Toledo";-;-;4;1;2;2;-;1;-;2;2;5;3;1;-;3;-;-;-;10;36
"316920 Tombos";-;-;17;2;4;3;1;2;-;2;12;16;12;6;5;4;4;8;1;30;129
"316930 Três Corações";14;20;97;62;16;46;9;28;1;199;191;93;68;23;22;19;16;75;1;318;1318
"316935 Três Marias";3;7;32;16;12;12;2;2;-;18;21;27;15;4;8;5;2;14;-;58;258
"316940 Três Pontas";8;16;83;34;7;23;5;19;-;121;108;70;39;11;25;18;6;37;2;239;871
"316950 Tumiritinga";-;-;3;-;3;1;-;-;-;-;3;7;2;1;-;2;1;1;-;16;40
"316960 Tupaciguara";-;-;22;1;7;2;4;3;-;11;20;23;10;3;13;7;9;14;-;55;204
"316970 Turmalina";1;3;27;9;1;5;2;5;-;24;15;30;7;5;4;3;2;13;-;62;218
"316980 Turvolândia";-;-;1;1;2;1;-;-;-;2;3;4;1;-;1;-;2;2;-;4;24
"316990 Ubá";15;102;288;70;22;49;21;28;-;386;97;170;77;25;17;28;21;46;-;483;1945
"317000 Ubaí";-;-;3;-;6;-;-;2;-;9;6;11;7;2;2;2;-;2;3;16;71
"317005 Ubaporanga";-;-;6;1;8;1;1;-;-;-;4;10;2;2;1;6;2;2;-;21;67
"317010 Uberaba";129;171;735;239;73;290;41;126;-;1473;390;861;317;64;62;100;83;245;1;1975;7375
"317020 Uberlândia";324;229;1353;645;211;596;187;257;3;3685;1647;1931;584;110;225;228;363;712;22;3988;17300
"317030 Umburatiba";-;-;2;-;2;-;-;-;-;-;2;6;1;-;1;1;-;1;1;11;28
"317040 Unaí";7;13;59;26;16;15;5;10;-;84;98;88;33;20;9;15;10;34;2;255;799
"317043 União de Minas";-;1;8;2;1;1;-;2;-;1;4;8;3;1;1;3;-;2;-;8;46
"317047 Uruana de Minas";-;-;5;-;2;-;-;-;-;-;3;6;3;-;2;1;-;1;-;17;40
"317050 Urucânia";-;-;2;1;5;1;1;-;-;2;4;5;4;1;2;1;1;3;-;17;50
"317052 Urucuia";-;1;11;1;5;-;1;1;-;5;4;14;4;-;1;2;2;2;3;23;80
"317057 Vargem Alegre";-;-;1;-;3;-;-;-;-;-;2;9;3;-;1;1;-;2;-;8;30
"317060 Vargem Bonita";-;-;-;-;1;-;-;-;-;-;2;3;2;1;1;2;-;1;1;5;19
"317065 Vargem Grande do Rio Pardo";-;-;3;-;3;-;-;-;-;-;5;7;3;-;1;2;-;2;2;11;39
"317070 Varginha";119;135;424;170;25;191;23;90;1;1033;347;292;176;38;59;38;43;127;2;751;4084
"317075 Varjão de Minas";-;-;4;-;4;2;2;1;-;-;4;6;6;2;2;4;-;6;-;20;63
"317080 Várzea da Palma";3;9;19;9;10;5;4;-;-;17;19;32;11;6;7;10;6;9;-;71;247
"317090 Varzelândia";-;-;5;3;10;-;2;-;-;2;9;17;9;2;3;4;5;5;2;17;95
"317100 Vazante";2;1;29;6;10;2;2;1;-;8;56;25;14;2;3;7;1;3;1;36;209
"317103 Verdelândia";-;-;3;-;5;-;1;1;-;-;11;7;2;-;1;1;1;3;-;23;59
"317107 Veredinha";-;1;1;-;4;-;-;-;-;3;5;7;3;1;1;1;-;2;-;11;40
"317110 Veríssimo";-;-;5;1;1;-;-;-;-;-;4;7;3;-;1;2;2;3;1;6;36
"317115 Vermelho Novo";-;-;-;1;2;1;1;-;-;-;2;3;3;1;1;2;1;2;2;-;22
"317120 Vespasiano";29;21;220;40;59;44;13;12;-;142;111;151;42;8;8;23;7;25;37;114;1106
"317130 Viçosa";31;58;169;88;34;69;29;31;-;421;169;109;77;21;55;69;25;102;1;397;1955
"317140 Vieiras";-;-;1;1;2;-;1;-;-;-;6;5;3;1;1;1;1;2;-;3;28
"317160 Virgem da Lapa";-;1;7;2;6;-;1;-;-;-;7;13;6;1;1;1;2;2;1;20;71
"317170 Virgínia";-;-;1;1;3;-;-;-;-;3;4;10;3;2;1;3;2;2;-;10;45
"317180 Virginópolis";3;2;9;1;4;1;-;-;-;4;10;9;4;-;1;2;-;2;-;29;81
"317190 Virgolândia";-;-;5;-;3;-;1;-;-;1;4;7;6;1;1;2;1;2;-;14;48
"317200 Visconde do Rio Branco";3;2;80;18;12;13;5;4;-;41;40;43;33;2;6;11;4;15;-;121;453
"317210 Volta Grande";-;-;2;-;3;-;-;-;-;-;2;6;4;1;1;1;1;-;1;5;27
"317220 Wenceslau Braz";-;-;1;-;1;1;-;-;-;-;2;2;-;-;1;-;-;1;2;1;12
"320010 Afonso Cláudio";3;8;33;9;10;7;1;7;-;9;21;30;11;3;4;4;5;8;-;77;250
"320016 Água Doce do Norte";-;-;-;-;5;-;1;-;-;-;6;6;-;-;-;1;2;2;3;5;31
"320013 Águia Branca";-;-;4;1;5;1;-;-;-;1;5;13;3;-;-;7;2;2;-;18;62
"320020 Alegre";3;9;37;17;10;7;1;3;-;42;24;33;11;2;2;7;3;10;-;70;291
"320030 Alfredo Chaves";-;-;5;2;7;3;1;1;-;9;14;19;5;2;3;11;5;7;-;24;118
"320035 Alto Rio Novo";-;-;6;-;4;-;1;-;-;-;5;8;2;1;-;-;-;1;1;9;38
"320040 Anchieta";3;2;45;6;15;8;11;9;-;29;52;62;23;5;10;8;14;20;1;139;462
"320050 Apiacá";-;-;7;1;3;-;1;1;-;1;3;11;4;2;2;2;-;5;-;17;60
"320060 Aracruz";8;20;150;61;21;73;4;17;-;182;148;158;39;27;29;86;18;57;-;280;1378
"320070 Atilio Vivacqua";-;-;5;1;15;3;1;1;-;5;15;19;6;1;4;5;6;4;1;15;107
"320080 Baixo Guandu";4;3;26;10;12;14;-;1;-;21;25;40;23;3;7;12;7;7;-;82;297
"320090 Barra de São Francisco";5;15;45;19;12;10;2;17;-;49;45;55;22;4;8;7;11;13;6;127;472
"320100 Boa Esperança";2;6;15;3;5;-;-;1;-;-;9;18;4;1;-;4;1;1;4;21;95
"320110 Bom Jesus do Norte";-;-;9;1;5;1;1;-;-;4;6;12;9;-;4;2;1;2;-;14;71
"320115 Brejetuba";1;4;10;1;5;2;1;3;-;21;7;14;4;2;3;1;2;6;-;26;113
"320120 Cachoeiro de Itapemirim";76;93;307;142;55;149;29;84;-;864;203;407;177;44;40;91;48;77;13;1107;4006
"320130 Cariacica";36;32;287;88;55;161;37;46;1;474;170;398;74;33;35;59;80;68;-;946;3080
"320140 Castelo";2;16;43;17;14;9;2;6;-;43;56;32;16;10;7;18;10;12;-;68;381
"320150 Colatina";40;98;159;97;42;106;14;43;1;621;181;359;114;34;36;55;39;57;3;946;3045
"320160 Conceição da Barra";-;1;18;4;8;1;1;2;-;1;8;28;5;5;4;4;4;3;4;32;133
"320170 Conceição do Castelo";-;1;18;3;4;2;1;1;-;6;12;17;6;5;3;2;2;7;1;14;105
"320180 Divino de São Lourenço";-;-;1;-;2;-;-;-;-;1;2;8;2;1;2;1;1;4;2;-;27
"320190 Domingos Martins";3;8;63;9;9;24;1;2;-;41;32;40;14;8;6;11;6;19;4;85;385
"320200 Dores do Rio Preto";-;-;2;1;3;2;-;-;-;6;8;5;4;1;1;4;1;2;1;7;48
"320210 Ecoporanga";2;4;11;3;10;5;1;1;-;1;17;22;9;1;2;1;2;4;18;11;125
"320220 Fundão";-;-;25;1;3;4;8;1;-;4;4;29;6;3;2;10;5;6;-;41;152
"320225 Governador Lindenberg";-;-;13;2;5;4;1;-;-;5;13;14;8;-;1;11;2;6;4;-;89
"320230 Guaçuí";4;6;30;25;10;12;2;8;-;89;37;57;47;9;12;11;8;28;-;118;513
"320240 Guarapari";10;1;59;31;21;46;14;7;-;91;89;115;18;18;11;27;16;33;10;154;771
"320245 Ibatiba";4;11;37;6;6;6;2;3;-;23;32;22;5;3;3;5;-;3;7;19;197
"320250 Ibiraçu";-;2;8;2;4;1;1;-;-;3;10;19;5;1;-;-;1;3;-;73;133
"320255 Ibitirama";-;1;6;-;4;1;-;1;-;5;4;15;3;2;1;2;1;2;-;16;64
"320260 Iconha";1;1;21;2;-;2;2;3;-;18;32;11;8;3;5;7;2;5;-;12;135
"320265 Irupi";-;-;8;1;4;-;-;1;-;3;18;13;9;3;2;2;2;5;-;14;85
"320270 Itaguaçu";1;1;11;3;6;4;-;1;-;4;11;15;10;1;5;1;-;3;5;24;106
"320280 Itapemirim";5;5;44;24;9;18;5;6;-;33;34;77;20;10;15;27;5;15;-;219;571
"320290 Itarana";-;-;7;1;6;1;1;1;-;4;15;11;7;1;2;2;1;3;-;31;94
"320300 Iúna";2;3;26;7;8;8;-;3;-;25;27;30;10;7;5;5;3;8;-;46;223
"320305 Jaguaré";6;1;36;11;9;5;1;2;-;9;20;27;7;2;14;8;3;13;-;47;221
"320310 Jerônimo Monteiro";9;6;30;4;3;3;1;1;-;18;26;24;19;2;12;6;4;6;1;49;224
"320313 João Neiva";4;2;22;7;5;4;1;3;-;26;17;19;10;1;12;6;4;7;1;35;186
"320316 Laranja da Terra";-;2;21;3;4;3;1;3;-;10;5;15;7;2;4;8;2;1;-;24;115
"320320 Linhares";28;57;170;121;45;95;14;47;-;523;344;267;102;18;42;68;47;104;1;787;2880
"320330 Mantenópolis";-;-;10;3;8;1;-;-;-;1;7;16;4;1;4;2;1;5;1;13;77
"320332 Marataízes";-;2;28;12;11;12;6;2;-;33;34;60;23;7;10;29;4;24;4;87;388
"320334 Marechal Floriano";-;1;13;6;7;12;1;1;-;9;13;22;6;-;2;3;1;4;-;32;133
"320335 Marilândia";-;1;13;1;7;2;1;-;-;1;24;15;6;2;4;2;2;3;-;25;109
"320340 Mimoso do Sul";4;8;30;10;16;13;7;12;-;48;22;37;15;9;8;16;6;20;1;60;342
"320350 Montanha";1;10;14;12;7;5;2;2;-;8;16;36;11;-;2;5;2;8;3;34;178
"320360 Mucurici";-;-;9;2;3;2;1;1;-;4;4;11;3;-;4;3;-;1;-;20;68
"320370 Muniz Freire";2;4;8;5;6;4;2;3;-;9;22;25;7;4;4;6;3;15;7;17;153
"320380 Muqui";1;1;7;5;6;3;1;1;-;4;13;28;9;2;2;6;2;3;-;30;124
"320390 Nova Venécia";7;13;56;20;12;8;3;10;-;39;63;49;26;12;13;11;6;40;3;88;479
"320400 Pancas";-;-;12;2;9;3;1;1;-;3;17;18;4;1;5;2;2;3;3;24;110
"320405 Pedro Canário";3;13;13;11;6;2;1;2;-;4;15;18;5;1;3;2;2;2;4;26;133
"320410 Pinheiros";-;12;28;3;8;5;1;6;-;30;38;20;9;4;3;5;3;8;-;39;222
"320420 Piúma";-;-;19;4;9;9;5;-;-;14;12;47;14;2;5;2;5;12;8;45;212
"320425 Ponto Belo";-;-;2;-;3;2;1;1;-;4;3;6;4;1;1;2;-;2;-;14;46
"320430 Presidente Kennedy";-;-;21;3;10;8;2;1;-;26;16;41;22;4;18;23;13;16;1;52;277
"320435 Rio Bananal";1;-;9;2;7;3;-;-;-;6;25;16;14;3;2;6;2;5;-;27;128
"320440 Rio Novo do Sul";-;-;10;-;5;1;2;-;-;1;8;15;3;-;-;2;-;2;1;20;70
"320450 Santa Leopoldina";1;1;15;3;5;1;-;1;-;11;13;12;4;-;1;2;2;1;-;22;95
"320455 Santa Maria de Jetibá";1;12;19;8;18;7;2;4;-;23;36;30;24;5;8;13;4;15;12;48;289
"320460 Santa Teresa";6;4;52;17;14;15;6;9;-;82;35;81;19;9;8;10;7;18;2;174;568
"320465 São Domingos do Norte";-;-;7;2;3;1;-;-;-;4;5;13;3;-;1;6;1;2;-;14;62
"320470 São Gabriel da Palha";3;5;43;8;10;8;2;5;-;28;47;34;18;3;10;25;2;12;10;57;330
"320480 São José do Calçado";8;9;15;8;3;7;2;1;-;42;17;39;12;-;6;6;8;3;1;106;293
"320490 São Mateus";27;47;176;38;33;60;11;26;-;271;89;210;55;15;17;41;33;36;3;627;1815
"320495 São Roque do Canaã";-;1;10;2;3;1;-;1;-;5;11;10;7;1;2;6;1;1;4;8;74
"320500 Serra";124;162;563;222;80;238;28;99;-;1253;456;957;257;49;58;141;115;147;48;2447;7444
"320501 Sooretama";-;-;9;2;6;1;1;1;-;7;7;23;9;-;1;21;3;4;-;33;128
"320503 Vargem Alta";-;2;24;4;9;3;1;-;-;9;23;25;7;1;3;12;3;2;8;18;154
"320506 Venda Nova do Imigrante";4;15;49;19;9;14;3;9;-;72;46;59;30;9;9;11;6;20;10;104;498
"320510 Viana";-;1;70;1;27;2;3;4;-;13;32;138;12;7;5;11;14;17;-;127;484
"320515 Vila Pavão";-;-;5;1;1;1;-;-;-;-;2;7;3;-;-;10;-;4;-;14;48
"320517 Vila Valério";-;-;11;-;6;1;-;-;-;2;5;16;5;2;-;1;1;3;-;17;70
"320520 Vila Velha";163;128;558;218;42;406;51;115;1;1639;733;856;430;87;119;167;145;214;-;2106;8178
"320530 Vitória";340;304;769;427;104;513;87;239;2;3569;618;1701;394;103;124;239;223;306;195;4101;14358
"330010 Angra dos Reis";25;43;312;83;69;125;14;47;4;369;302;462;158;48;49;38;50;70;34;800;3102
"330015 Aperibé";3;4;13;6;4;6;1;3;-;17;9;20;11;5;2;4;3;5;-;31;147
"330020 Araruama";29;25;72;48;22;79;9;34;-;308;57;187;92;21;22;16;38;60;-;287;1406
"330022 Areal";-;1;21;4;8;3;1;4;-;13;15;23;24;2;3;3;-;6;-;39;170
"330023 Armação dos Búzios";14;14;51;27;12;31;4;5;-;64;32;65;24;7;6;8;7;10;-;103;484
"330025 Arraial do Cabo";3;6;17;12;8;9;2;4;-;40;22;35;27;2;4;3;4;8;-;40;246
"330030 Barra do Piraí";10;19;101;23;6;41;9;15;-;154;57;118;49;13;20;10;22;55;3;256;981
"330040 Barra Mansa";41;48;336;68;41;142;19;66;-;510;191;278;100;47;37;26;28;98;2;660;2738
"330045 Belford Roxo";5;6;159;41;13;93;7;66;-;195;91;207;100;31;25;25;55;56;-;440;1615
"330050 Bom Jardim";4;8;18;16;9;15;1;2;-;26;14;18;9;2;4;2;1;12;3;20;184
"330060 Bom Jesus do Itabapoana";9;13;67;23;13;12;5;12;-;136;66;54;46;13;15;9;19;36;12;125;685
"330070 Cabo Frio";51;57;295;107;31;138;32;63;1;471;166;376;166;25;37;25;81;107;8;837;3074
"330080 Cachoeiras de Macacu";5;7;43;16;11;13;4;2;-;36;43;64;20;7;18;15;16;29;-;117;466
"330090 Cambuci";3;3;24;3;5;3;2;2;-;15;9;25;8;4;-;2;4;2;2;19;135
"330100 Campos dos Goytacazes";158;200;754;379;23;468;59;177;1;1920;911;962;589;125;119;139;215;266;-;2932;10397
"330110 Cantagalo";1;6;24;8;8;6;5;2;-;32;21;28;18;7;11;3;4;9;10;50;253
"330093 Carapebus";-;1;22;2;5;8;2;4;-;16;28;33;19;1;6;2;13;15;-;52;229
"330115 Cardoso Moreira";-;-;18;2;5;6;1;1;-;9;14;18;13;1;2;3;1;3;2;11;110
"330120 Carmo";2;7;27;9;6;5;8;1;1;31;21;35;23;2;6;6;3;12;5;42;252
"330130 Casimiro de Abreu";6;5;19;18;11;13;8;6;-;38;37;76;38;3;8;17;12;11;2;141;469
"330095 Comendador Levy Gasparian";-;1;14;3;4;3;1;1;-;9;10;21;7;2;1;1;2;6;-;31;117
"330140 Conceição de Macabu";-;2;27;7;3;10;3;6;-;19;17;30;15;3;7;7;8;12;-;40;216
"330150 Cordeiro";2;2;27;14;6;9;3;10;-;55;24;20;16;12;7;2;4;17;-;29;259
"330160 Duas Barras";1;1;20;2;2;3;1;4;-;8;21;18;17;3;1;1;3;5;-;32;143
"330170 Duque de Caxias";174;174;779;326;129;547;54;147;2;1167;292;1358;360;102;153;127;187;127;11;2549;8765
"330180 Engenheiro Paulo de Frontin";-;1;20;3;6;2;3;-;-;10;16;25;15;5;2;4;3;8;4;34;161
"330185 Guapimirim";8;11;55;22;8;32;9;12;-;74;25;78;32;11;13;8;21;32;-;68;519
"330187 Iguaba Grande";-;1;46;3;10;13;5;3;-;26;21;67;25;6;8;9;11;22;-;122;398
"330190 Itaboraí";10;65;184;66;46;78;12;37;-;295;100;358;119;25;54;41;49;69;16;534;2158
"330200 Itaguaí";14;22;148;56;20;104;14;40;-;267;118;161;97;46;22;22;25;65;3;292;1536
"330205 Italva";-;-;17;4;5;4;1;1;-;11;10;19;10;5;1;3;3;7;1;19;121
"330210 Itaocara";5;4;47;11;10;8;4;15;-;32;27;32;16;4;7;7;9;12;2;53;305
"330220 Itaperuna";30;23;241;60;22;75;13;36;-;453;137;164;189;49;37;28;32;65;12;657;2323
"330225 Itatiaia";6;8;38;20;7;15;5;6;-;57;42;45;37;2;8;1;9;17;4;81;408
"330227 Japeri";-;-;60;8;19;15;4;7;-;44;36;52;15;7;8;10;17;19;1;114;436
"330230 Laje do Muriaé";-;-;5;2;3;2;1;2;-;3;5;10;4;2;1;2;1;2;2;16;63
"330240 Macaé";53;83;399;146;49;204;26;58;-;917;507;479;262;84;81;56;119;151;2;1133;4809
"330245 Macuco";-;1;13;1;2;1;1;1;-;8;4;18;8;3;2;2;2;2;-;11;80
"330250 Magé";8;8;128;45;46;65;13;17;-;160;109;207;74;19;39;23;65;50;-;575;1651
"330260 Mangaratiba";12;9;50;16;16;26;6;2;-;62;55;69;37;9;12;7;9;23;-;167;587
"330270 Maricá";33;44;203;60;61;95;8;30;4;230;129;381;110;27;41;43;55;77;-;706;2337
"330280 Mendes";2;2;17;6;8;2;2;2;-;22;41;27;19;3;3;7;6;12;-;42;223
"330285 Mesquita";19;-;119;54;56;82;6;8;-;82;47;224;52;17;15;23;28;42;-;434;1308
"330290 Miguel Pereira";6;4;39;14;12;9;6;7;-;45;46;49;23;6;5;11;4;14;-;102;402
"330300 Miracema";7;9;51;6;11;8;3;6;-;45;29;38;24;3;5;5;9;16;1;72;348
"330310 Natividade";1;6;18;12;9;10;3;6;-;19;27;35;18;14;5;3;5;14;5;23;233
"330320 Nilópolis";15;4;129;44;53;99;11;26;-;197;110;204;60;14;24;20;33;36;20;468;1567
"330330 Niterói";151;136;877;301;89;456;103;177;3;1669;259;1717;480;144;212;223;230;374;-;3866;11467
"330340 Nova Friburgo";42;47;196;90;34;115;17;44;-;522;183;240;101;47;26;34;22;101;10;639;2510
"330350 Nova Iguaçu";57;88;775;248;153;425;25;198;3;1208;463;850;300;71;67;76;65;160;3;1641;6876
"330360 Paracambi";11;15;50;28;7;37;9;5;-;56;37;88;45;7;11;10;10;44;3;140;613
"330370 Paraíba do Sul";39;18;59;28;25;16;4;25;-;130;44;91;43;14;8;11;9;19;5;199;787
"330380 Paraty";6;9;27;12;15;16;5;4;-;40;16;76;22;5;6;9;9;8;-;233;518
"330385 Paty do Alferes";-;1;14;16;13;12;2;3;-;26;32;27;21;5;6;10;2;12;3;30;235
"330390 Petrópolis";65;105;684;194;48;326;34;101;1;1022;289;576;351;87;84;54;47;210;30;1447;5755
"330395 Pinheiral";1;5;45;18;10;18;5;9;-;39;34;41;22;6;17;10;9;15;-;69;373
"330400 Piraí";9;3;47;17;16;16;3;8;-;46;43;60;23;5;13;7;6;21;2;167;512
"330410 Porciúncula";-;3;23;8;8;6;2;4;-;13;29;30;13;4;5;2;4;7;9;21;191
"330411 Porto Real";8;7;20;15;7;23;3;4;-;51;50;36;18;6;5;7;7;24;-;50;341
"330412 Quatis";3;3;12;3;6;3;2;4;-;12;19;25;10;6;7;-;7;17;3;35;177
"330414 Queimados";6;2;95;35;19;90;2;14;-;87;38;126;24;14;12;16;17;36;3;244;880
"330415 Quissamã";2;1;15;12;8;12;4;1;-;33;23;67;28;6;17;7;6;17;2;73;334
"330420 Resende";61;60;204;139;37;108;36;66;-;695;295;270;182;49;37;28;59;144;25;689;3184
"330430 Rio Bonito";11;35;59;25;22;34;6;17;-;134;78;110;45;17;14;15;16;45;-;310;993
"330440 Rio Claro";3;2;23;12;9;16;2;2;-;14;18;36;14;13;8;3;4;5;-;63;247
"330450 Rio das Flores";-;2;16;5;4;6;2;2;-;14;17;15;10;1;4;3;2;3;-;30;136
"330452 Rio das Ostras";29;57;178;69;24;87;19;32;-;242;193;252;150;45;70;33;66;100;4;374;2024
"330455 Rio de Janeiro";1707;1391;7116;2190;1553;3609;744;2166;82;19847;3534;18199;3448;831;2026;2093;1309;2074;27;29094;103040
"330460 Santa Maria Madalena";1;1;12;2;5;1;1;-;-;8;12;13;8;1;3;3;1;4;1;23;100
"330470 Santo Antônio de Pádua";8;8;81;16;10;11;2;18;-;70;37;62;23;7;9;6;8;19;2;113;510
"330480 São Fidélis";2;6;44;13;11;24;6;9;1;40;29;45;33;12;9;8;12;11;3;102;420
"330475 São Francisco de Itabapoana";-;2;42;29;9;13;2;9;-;37;40;50;24;2;2;5;6;12;2;71;357
"330490 São Gonçalo";78;113;616;203;210;277;51;165;2;1192;476;1292;416;135;185;99;183;302;3;2238;8236
"330500 São João da Barra";8;6;108;46;13;41;10;19;-;85;43;110;43;7;12;16;16;35;-;168;786
"330510 São João de Meriti";19;6;180;132;82;159;22;55;-;363;158;370;138;36;40;24;44;77;-;855;2760
"330513 São José de Ubá";-;-;8;2;4;-;-;1;-;6;11;12;9;4;3;1;4;5;5;11;86
"330515 São José do Vale do Rio Preto";2;1;25;8;9;11;2;4;-;12;50;33;12;5;5;2;3;10;9;34;237
"330520 São Pedro da Aldeia";8;8;48;35;16;41;5;15;-;75;74;116;37;10;14;16;12;25;-;161;716
"330530 São Sebastião do Alto";5;3;24;4;3;4;1;4;-;24;9;16;11;5;10;6;5;12;-;26;172
"330540 Sapucaia";-;1;15;7;10;4;2;-;-;22;20;28;12;6;4;4;4;5;5;20;169
"330550 Saquarema";24;21;90;56;15;80;6;13;-;127;45;158;62;24;24;22;26;27;-;414;1234
"330555 Seropédica";8;1;69;21;22;16;5;5;-;45;39;51;25;10;11;12;17;23;-;99;479
"330560 Silva Jardim";-;1;33;3;13;11;4;3;-;29;21;47;22;5;6;6;8;31;-;99;342
"330570 Sumidouro";3;4;12;4;10;5;2;2;-;24;13;31;9;2;2;2;2;7;5;21;160
"330575 Tanguá";-;-;5;3;16;6;10;2;-;19;13;37;7;3;5;5;13;15;-;80;239
"330580 Teresópolis";32;73;371;126;33;153;10;61;1;547;161;303;153;20;25;40;22;34;1;485;2651
"330590 Trajano de Moraes";1;1;11;1;5;3;1;1;-;5;13;19;14;2;2;4;2;6;-;29;120
"330600 Três Rios";22;29;149;57;39;67;23;17;-;316;126;202;116;26;25;17;30;57;2;431;1751
"330610 Valença";20;36;205;50;22;58;14;15;-;210;156;121;73;18;15;15;18;43;4;300;1393
"330615 Varre-Sai";1;2;9;2;5;1;1;3;-;3;11;16;6;3;-;3;2;2;2;13;85
"330620 Vassouras";16;19;73;33;14;56;12;7;-;232;58;153;51;9;12;13;9;30;11;310;1118
"330630 Volta Redonda";102;73;647;189;72;244;39;203;-;1294;483;679;411;76;90;56;66;188;16;1456;6384
"350010 Adamantina";3;6;115;42;14;19;15;14;-;141;30;128;41;6;22;14;12;43;27;90;782
"350020 Adolfo";-;1;33;2;3;1;-;-;-;2;4;7;5;3;1;3;-;3;-;24;92
"350030 Aguaí";1;1;50;8;8;8;2;11;-;26;20;34;17;4;6;8;3;20;3;52;282
"350040 Águas da Prata";-;-;11;2;1;2;1;1;-;8;4;9;2;-;-;1;-;2;2;8;54
"350050 Águas de Lindóia";3;12;37;13;4;12;2;3;1;18;24;21;11;5;9;3;6;9;2;37;232
"350055 Águas de Santa Bárbara";-;-;11;2;2;3;-;-;-;7;15;11;3;1;-;2;1;3;-;10;71
"350060 Águas de São Pedro";-;-;7;1;-;2;1;1;-;6;1;10;4;1;-;1;-;1;-;11;47
"350070 Agudos";5;13;58;27;16;19;4;5;-;53;48;53;27;5;8;8;7;22;19;80;477
"350075 Alambari";-;-;8;2;2;1;1;-;-;-;6;11;1;-;2;2;1;1;3;5;46
"350080 Alfredo Marcondes";-;-;1;-;2;1;-;-;-;-;2;3;3;-;-;-;2;1;2;-;17
"350090 Altair";-;-;7;1;1;2;-;-;-;1;5;9;4;1;1;-;-;1;1;7;41
"350100 Altinópolis";-;2;12;3;9;9;2;1;-;22;28;27;12;1;5;2;4;13;-;57;209
"350110 Alto Alegre";1;2;4;2;2;3;-;1;-;3;10;9;2;-;2;2;1;1;-;14;59
"350115 Alumínio";-;-;20;5;-;3;1;3;-;18;15;23;5;2;1;1;-;3;-;7;107
"350120 Álvares Florence";-;-;4;1;1;-;-;-;-;-;3;5;3;1;2;2;-;1;-;5;28
"350130 Álvares Machado";-;-;74;3;9;3;4;-;-;6;14;23;17;9;9;4;13;16;7;11;222
"350140 Álvaro de Carvalho";-;-;2;1;2;1;-;-;-;-;2;7;2;1;-;-;2;3;-;3;26
"350150 Alvinlândia";-;-;-;2;3;-;-;-;-;1;2;2;1;-;1;1;1;1;1;6;22
"350160 Americana";71;76;292;138;16;168;36;60;-;774;349;346;133;80;41;48;48;359;11;938;3984
"350170 Américo Brasiliense";29;12;82;12;4;15;3;8;-;106;41;113;31;11;11;18;10;18;1;327;852
"350180 Américo de Campos";-;-;11;2;3;-;-;-;-;-;9;9;4;1;-;3;-;1;2;7;52
